,,,소계,매립시설,기타시설,소계,인건비,차량운영비,장비구입비,위탁처리비,시설관리비,기타
,진주시,"29,201,891",0,0,0,"29,201,891","2,262,371","188,620","235,000","16,371,966","7,794,733","2,349,201"
,통영시,"37,092,488","18,181,799","258,698","17,923,101","18,910,689","1,378,220","80,412","365,092","15,095,743","580,188","1,411,034"
,사천시,"10,308,123","2,718,114","2,718,114",0,"7,590,009","4,939,333","329,800","79,948","1,556,894","60,000","624,034"
,김해시,"38,722,715",0,0,0,"38,722,715",0,0,0,"38,722,715",0,0
,밀양시,"11,691,896","4,000,000",0,"4,000,000","7,691,896","1,569,881","53,000",0,"5,851,190","217,825",0
,거제시,"20,970,720",0,0,0,"20,970,720","5,077,634","12,989",0,"8,224,513","5,698,977","1,956,607"
,양산시,"7,939,051",0,0,0,"7,939,051",0,0,0,"7,939,051",0,0
,의령군,"2,149,335",0,0,0,"2,149,335","1,500,100","105,203",0,"443,862","49,500","50,670"
,함안군,"6,862,732",0,0,0,"6,862,732","536,535",0,"20,818","3,128,358","2,986,160","190,861"
,창녕군,"4,876,222",0,0,0,"4,876,222","392,823",0,0,"2,190,338","2,293,061",0
,고성군,"5,239,663","153,517","78,600","74,917","5,086,146","2,543,219","163,567","288,398","233,778",0,"1,857,184"
,남해군,"4,844,935","1,008,958","1,008,958",0,"3,835,977","1,384,588","164,649","404,460","204,000","1,678,280",0
,하동군,"2,151,079",0,0,0,"2,151,079",0,0,0,0,"2,151,079",0
,산청군,"4,223,387","1,229,124","1,229,124",0,"2,994,263","2,130,878","186,088","146,765","165,495","150,813","214,224"
,함양군,"4,810,453","810,843","792,843","18,000","3,999,610","2,092,364","208,549",0,"431,997","1,263,942","2,758"
,거창군,"8,357,726",0,0,0,"8,357,726","339,636",0,"128,800","6,500,800","217,850","1,170,640"
,합천군,"4,768,969","25,197","16,333","8,864","4,743,772","2,765,427","169,936","11,419","75,843","1,403,010","318,137"
