1. 생활폐기물 관리 구역 현황,,,,,,,,,,,,,,,,,
나. 시·군·구 생활폐기물 관리구역 현황,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
시도,시군구,전체행정구역,,,,생활폐기물 관리구역,,,,생활폐기물 관리제외지역,,,,관리제외지역 비율(%),,,
,,면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적비,인구비,동수비,세대수비
,여수시,512.08,"287,479",27,"123,677",494.98,"285,523",27,"122,638",17.10,"1,956",0,"1,039",3.3,0.7,0.0,0.8
,순천시,911.06,"281,722",24,"116,946",911.06,"281,722",24,"116,946",0.00,0,0,0,0.0,0.0,0.0,0.0
,나주시,608.40,"117,445",20,"56,090",608.40,"117,445",20,"56,090",0.00,0,0,0,0.0,0.0,0.0,0.0
,광양시,463.09,"158,437",12,"65,725",463.09,"158,437",12,"65,725",0.00,0,0,0,0.0,0.0,0.0,0.0
,담양군,455.09,"47,533",12,"23,521",455.09,"47,533",12,"23,521",0.00,0,0,0,0.0,0.0,0.0,0.0
,곡성군,547.47,"29,376",11,"15,289",547.47,"29,376",11,"15,289",0.00,0,0,0,0.0,0.0,0.0,0.0
,구례군,443.24,"26,784",8,"13,243",436.84,"26,692",8,"13,198",6.40,92,0,45,1.4,0.3,0.0,0.3
,고흥군,807.37,"65,972",16,"34,791",800.33,"65,455",16,"34,479",7.04,517,0,312,0.9,0.8,0.0,0.9
,보성군,664.01,"41,908",12,"22,276",664.01,"41,908",12,"22,276",0.00,0,0,0,0.0,0.0,0.0,0.0
,화순군,787.01,"63,646",13,"30,103",787.01,"63,646",13,"30,103",0.00,0,0,0,0.0,0.0,0.0,0.0
,장흥군,622.34,"39,155",10,"20,143",622.34,"39,155",10,"20,143",0.00,0,0,0,0.0,0.0,0.0,0.0
,강진군,500.92,"35,742",11,"18,351",500.92,"35,742",11,"18,351",0.00,0,0,0,0.0,0.0,0.0,0.0
,해남군,"1,031.31","71,806",14,"34,824","1,028.29","71,335",14,"34,631",3.02,471,0,193,0.3,0.7,0.0,0.6
,영암군,612.56,"59,109",11,"27,362",612.56,"59,109",11,"27,362",0.00,0,0,0,0.0,0.0,0.0,0.0
,무안군,449.71,"82,733",9,"36,722",449.71,"82,733",9,"36,722",0.00,0,0,0,0.0,0.0,0.0,0.0
,함평군,392.10,"33,560",9,"17,837",392.10,"33,560",9,"17,837",0.00,0,0,0,0.0,0.0,0.0,0.0
